jobs,rickross_count,rickross_percent
Artist,4661,18.524700926036335
Entrepreneur,2769,11.005126982234415
Producer,2071,8.230992408886772
CEO,1595,6.339175708437664
Writer,1444,5.739040578673345
Designer,1171,4.654028059298121
Onlyfans,1071,4.256587576010494
Content Creator,917,3.644529231747547
Musician,800,3.179523866301022
Songwriter,745,2.9609316004928274
Creator,596,2.3687452803942617
DJ,587,2.332975636898375
Model,567,2.2534875402408496
Coach,504,2.0031000357696445
Music Producer,494,1.9633559874408815
Director,420,1.6692500298080368
Author,350,1.3910416915066972
Chef,329,1.3075791900162954
Gamer,327,1.2996303803505427
Influencer,325,1.2916815706847904
