nationality,rickross_count,rickross_percent
Nigeria,1476,13.62000553658762
South Africa,960,8.858540186398452
Ghana,754,6.957645104733784
Jamaica,627,5.785734059241489
United Kingdom,553,5.102888253206609
Haiti,441,4.0693918981267885
Canada,403,3.71874134908185
Mexico,359,3.312724923871921
Puerto Rico,311,2.8697979145519983
Kenya,258,2.380732675094584
Dominican Republic,238,2.196179754544616
Italy,231,2.1315862323521277
France,195,1.7993909753621855
Bahamas,154,1.4210574882347515
Trinidad & Tobago,150,1.384146904124758
Angola,148,1.3656916120697615
Germany,141,1.3010980898772726
Brazil,132,1.2180492756297872
India,116,1.0704069391898128
Spain,111,1.0242687090523208
