nationality,telfarglobal_count,telfarglobal_percent
Jamaica,875,11.569483009387808
Haiti,726,9.59936533121777
Nigeria,641,8.475472696020098
Dominican Republic,447,5.910353034510115
Puerto Rico,431,5.6987967737670235
Mexico,389,5.143461589316409
Ghana,301,3.9799021552294063
Trinidad & Tobago,296,3.91379082374719
Canada,192,2.5386751289170966
United Kingdom,186,2.459341531138437
Guyana,173,2.2874520692846754
Philippines,147,1.943673145577152
Barbados,143,1.890784080391379
El Salvadorian,115,1.5205606240909693
Bahamas,111,1.4676715589051963
Panama,107,1.4147824937194233
Colombia,107,1.4147824937194233
Cuba,92,1.2164484992727753
Kenya,91,1.2032262329763321
Italy,77,1.0181145048261273
