city,theestallion_count,theestallion_percent
Houston,382,9.406550110810150
New York City,377,9.283427727160800
Chicago,351,8.643191332184190
Atlanta,304,7.485840925880330
New York,287,7.067224821472540
Texas,283,6.968726914553070
Georgia,276,6.796355577443980
Florida,264,6.500861856685550
Washington DC,218,5.368135927111550
Miami,216,5.318886973651810
Brooklyn,213,5.245013543462200
Queens,145,3.570549125831080
DMV,126,3.102684067963560
Baltimore,95,2.339325289337600
Cleveland,84,2.068456045309040
Bronx,83,2.0438315685791700
New Orleans,73,1.7975868012804700
Tennessee,66,1.6252154641713900
Tokyo,61,1.5020930805220400
Tampa,52,1.2804727899532100
