interests,theestallion_count,theestallion_percent
BTS Enthusiast,4098,19.864275327193408
Adult Content,1887,9.146873485215703
United States Army,1673,8.109549200193891
Fashion,1393,6.752302472127967
Black Lives Matter,1357,6.577799321376634
Beauty,1111,5.385361124575859
Fan Account,1058,5.1284537081919535
Video Games,853,4.134755210857973
Entertainment,822,3.984488608822103
Singer,494,2.394571013087736
NFT Enthusiast,483,2.341250605913718
Podcast,450,2.181289384391662
Health,379,1.837130392632089
Nature Lover,368,1.78380998545807
Cryptocurrency,365,1.7692680562287926
Photographer,358,1.7353368880271443
Blogger,266,1.289384391662627
Analyst,245,1.1875908870576828
Photography,243,1.1778962675714977
Technology,195,0.9452253999030537
