jobs,theestallion_count,theestallion_percent
Artist,4807,17.977486069037738
Content Creator,2527,9.45061520625304
Entrepreneur,1961,7.333856913123155
Writer,1717,6.42133213657953
Onlyfans,1630,6.095964695762744
Designer,1190,4.450428213470961
Model,1137,4.252215864467632
Producer,1077,4.0278245259732985
CEO,1059,3.9605071244249985
Creator,823,3.0779011930139504
Gamer,654,2.445865589588242
Musician,648,2.4234264557388094
Teacher,557,2.0830995923557354
Songwriter,534,1.9970829125995742
DJ,460,1.7203335951232284
Coach,436,1.6305770597254947
Author,418,1.563259658177195
Influencer,407,1.5221212461199
Chef,380,1.4211451437974498
Editor,333,1.2453719286435545
