nationality,trvisxx_count,trvisxx_percent
Mexico,2454,9.227992328808334
Brazil,1907,7.171060053397511
United Kingdom,1320,4.963712255104727
Puerto Rico,977,3.6738991463919084
Canada,941,3.5385251757981435
Italy,937,3.523483623509946
Philippines,869,3.2677772346106115
South Africa,822,3.0910389952243076
Nigeria,752,2.8278118301808752
Jamaica,749,2.816530665964728
Dominican Republic,639,2.4028879780393337
France,587,2.2073477982927843
Colombia,575,2.1622231414281954
Germany,517,1.9441206332493515
Spain,460,1.7297785131425565
Portugal,459,1.7260181250705073
Australia,429,1.6132064829090365
Ireland,417,1.568081826044448
Japan,409,1.5379987214680555
Venezuela,409,1.5379987214680555
