city,tylerthecreator_count,tylerthecreator_percent
New York City,233,12.160751565762002
Chicago,194,10.125260960334028
New York,168,8.768267223382045
Miami,130,6.784968684759916
Washington DC,128,6.680584551148226
Florida,127,6.628392484342379
Atlanta,114,5.949895615866388
Texas,108,5.6367432150313155
Georgia,98,5.11482254697286
Houston,91,4.749478079331941
Brooklyn,87,4.540709812108559
DMV,63,3.2881002087682667
Tokyo,54,2.8183716075156577
Queens,48,2.5052192066805845
Bronx,43,2.244258872651357
Baltimore,38,1.9832985386221291
Cleveland,37,1.9311064718162838
Tampa,33,1.7223382045929017
Connecticut,32,1.6701461377870566
New Orleans,28,1.4613778705636742
