city,wizkhalifa_count,wizkhalifa_percent
Chicago,271,10.644147682639431
Florida,247,9.701492537313428
New York,209,8.208955223880594
New York City,200,7.855459544383342
Miami,173,6.794972505891591
Georgia,173,6.794972505891591
Houston,164,6.441476826394342
Atlanta,143,5.616653574234091
Washington DC,136,5.341712490180673
Brooklyn,133,5.223880597014923
Texas,132,5.1846032992930065
DMV,73,2.8672427336999204
Cleveland,73,2.8672427336999204
Queens,63,2.474469756480753
Bronx,55,2.1602513747054193
Tennessee,53,2.081696779261586
Tampa,52,2.0424194815396692
Baltimore,51,2.0031421838177526
Connecticut,36,1.4139827179890019
New Orleans,35,1.374705420267085
