interests,wizkhalifa_count,wizkhalifa_percent
NFT Enthusiast,2230,15.574800949853332
Cryptocurrency,1241,8.667411649671743
Fashion,1139,7.955021651068585
Video Games,1004,7.01215253527029
Entertainment,949,6.6280206732783915
Beauty,600,4.190529403547981
Adult Content,518,3.617823718396424
Photographer,484,3.380360385528705
Nature Lover,459,3.2057549937142062
Singer,454,3.170833915351306
Investor,417,2.912417935465847
Podcast,357,2.4933649951110493
Black Lives Matter,350,2.444475485402989
Health,324,2.2628858779159104
Analyst,320,2.23494901522559
Technology,274,1.9136750942869114
Photography,266,1.8578013689062718
United States Army,252,1.7600223494901521
Blogger,249,1.7390697024724122
Bitcoin Enthusiast,237,1.6552591144014528
